FAAM-ID,Title,Permalink,"Holding Institution","Score format","Score complexity","GitHub Image URL"
KCA-030901609500,"Charlotte Corday: drame: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785134/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901609500/images/
KCA-030901609450,"Charlotte Corday: drame: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785134/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901609450/images/
KCA-030900746162,"Charlotte Corday: drame: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785134/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030900746162/images/
KCA-030904470207,"Charlotte Corday: drame: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785134/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904470207/images/
KCA-030901609492,"Charlotte Corday: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785124/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901609492/images/
KCA-030904175582,"Charlotte Corday: ouverture",https://anet.be/record/opacdkvc/c:lvd:6785124/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904175582/images/
KCA-030901620275,"Charlotte Corday: idylle: inleiding tot het 4de tafereel",https://anet.be/record/opacdkvc/c:lvd:7030300/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901620275/images/
KCA-030901620275,"Charlotte Corday: idylle: inleiding tot het 4de tafereel",https://anet.be/record/opacdkvc/c:lvd:7030300/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901620275/images/
KCA-030901609484,"Charlotte Corday: entre acte, valse de la scène de bal",https://anet.be/record/opacdkvc/c:lvd:7021658/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901609484/images/
KCA-030901609484,"Charlotte Corday: entre acte, valse de la scène de bal",https://anet.be/record/opacdkvc/c:lvd:7021658/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901609484/images/
KCA-030901620267,"Treurmarsch: uit het lyrisch drama Charlotte Corday",https://anet.be/record/opacdkvc/c:lvd:6745520/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901620267/images/
KCA-030901620267,"Treurmarsch: uit het lyrisch drama Charlotte Corday",https://anet.be/record/opacdkvc/c:lvd:6745520/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901620267/images/
KCA-030902126744,"Charlotte Corday: entre acte, valse de la scène de bal",https://anet.be/record/opacdkvc/c:lvd:7093110/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126744/images/
KCA-030902126744,"Charlotte Corday: entre acte, valse de la scène de bal",https://anet.be/record/opacdkvc/c:lvd:7093110/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126744/images/
KCA-030901302353,"La valse: poème choréographique",https://anet.be/record/opacdkvc/c:lvd:6915801/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901302353/images/
KCA-030904722326,"Manon : opéra de J. Massenet: grande mosaïque en 2 parties",https://anet.be/record/opacdkvc/c:lvd:15317375/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904722326/images/
KCA-030904722326,"Manon : opéra de J. Massenet: grande mosaïque en 2 parties",https://anet.be/record/opacdkvc/c:lvd:15317375/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904722326/images/
KCA-030904386114,"Marsch, op. 17",https://anet.be/record/opacdkvc/c:lvd:15166859/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904386114/images/
KCA-030904386114,"Marsch, op. 17",https://anet.be/record/opacdkvc/c:lvd:15166859/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904386114/images/
KCA-030904478887,"2e symphonie : en do min, op. 17",https://anet.be/record/opacdkvc/c:lvd:15188642/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904478887/images/
KCA-030904478887,"2e symphonie : en do min, op. 17",https://anet.be/record/opacdkvc/c:lvd:15188642/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904478887/images/
KCA-030901696879,"Musik zu Shakespeare's ""Sturm"", Op. 8",https://anet.be/record/opacdkvc/c:lvd:6884524/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901696879/images/
KCA-030902813853,"Kammersuite : für Streichorchester oder Streichquartett, op. 69",https://anet.be/record/opacdkvc/c:lvd:14010171/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",
KCA-030902813853,"Kammersuite : für Streichorchester oder Streichquartett, op. 69",https://anet.be/record/opacdkvc/c:lvd:14010171/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",
KCA-030902126942,"Fantasia: voor Viola met klavier",https://anet.be/record/opacdkvc/c:lvd:6722793/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126942/images/
KCA-030902215612,"Het daghet in den Oosten: fantasie op oude Vlaamse volkmelodieën",https://anet.be/record/opacdkvc/c:lvd:7099493/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902215612/images/
KCA-030901842382,"Les Amazones: polka",https://anet.be/record/opacdkvc/c:lvd:7080239/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901842382/images/
KCA-030901847712,"l'Arbre de Noël: valse brillante",https://anet.be/record/opacdkvc/c:lvd:7081775/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901847712/images/
KCA-030901847712,"l'Arbre de Noël: valse brillante",https://anet.be/record/opacdkvc/c:lvd:7081775/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901847712/images/
